Card Name,Card Description,Labels,Checklist,Checklist item
"UserStory Empty Template","","2 (green) 1 (green_light) 3 (yellow) 5 (orange) 8 (red)",,
"S - Navigationsbar","As a useri want to be able to navigate the siteso i can see everything i want‌Storypoints - **S**","",,
,,,"Acceptance Criteria","Must be placed in layout (as the top bar of the webpage)"
,,,,"Drop down menu for "Blomster" button"
,,,,"When logged in as a customer/undertaker the login button changes to customer/undertaker manager dropdown (contains "profile", "my orders", "logout")"
,,,,"Blomster binderiets logo in the far left of the navigation bar"
,,,,"Search bar is placed to the far right but before the basket- and user buttons"
,,,,"When visiting as a guest, a login button is placed in the right corner"
,,,,"Implement ALL buttons"
,,,,"When logged in as a admin the login button changes to admin manager dropdown (contains admin pages)"
,,,"Tasks","Implement navigation bar design as in the paper mockup"
"S - Footer design, static pages","As a userI want to be able to navigate easily to information pages, like contact info and FAQIn order to clarify what I can expect from the shopStorypoints - **S**","",,
,,,"Tasks","Also write the static pages with lorum ipsum"
,,,,"Insert all links to static pages"
,,,,"implement the design from our design process"
,,,"Acceptance Criteria","There is a footer"
,,,,"All links and buttons work"
,,,,"Footer doesnt cover content on pages"
"L - Product page","As a customerI want to see all products availableSo I can chose a productStorypoints - **L**","",,
,,,"Acceptance Criteria","Link navigates to product page"
,,,,"All products are shown in a grid like view"
,,,,"Pageination to f.x. 24 products pr page"
,,,"Tasks","Navigate to product page (navbar link)"
,,,,"See all products avaliable (web page)"
,,,,"Mock data"
"M - See product details","As a customerI want to be able to see the specific products detailsSo i can be sure it is the right product for me‌Storypoints - **M**","",,
,,,"Acceptance Criteria","Large image of the product"
,,,,"Description of product"
,,,,"Button "Tilføj til kurv""
,,,,"Other versions links to other product page (different versions of same product is created as individual products)"
,,,,"Change amount field"
,,,,"Back to product catalog button"
,,,"Tasks","Create a product details page"
,,,,"Add link to product details on products in product page"
"M - Customer account sign up","As a customerI want to sign up and create an accountFor the purpose of in the future reduce amount of times i have to enter my details‌Storypoints - **M**","",,
,,,"Acceptance Criteria","Visitors can enter sign up page"
,,,,"Users signed in can not enter sign up page"
,,,,"Visitors who attempt to sign up has an account created on the server"
,,,"Tasks","Sign up page (med form)"
,,,,"Make connection to "opret bruger" button on navbar"
"XS - Customer account sign up confirmation","As a customerI want to get a confirmation when i registerBecause I want to know if i have done it right (or if someone uses my email)Storypoints - **XS**","",,
,,,"Acceptance Criteria","Email is sent (if possible)"
,,,,"When the customer successfully signs up a success message, on modal or different page, is shown"
,,,,"If something goes wrong (wrong email, name ect) an error message is shown"
,,,"Tasks","Confirmation to customer (email if possible)"
,,,,"Signup successful message"
"S - Sign in, sign out","As a customer i want to loginSo i won't have to enter my details againWith the purpose of not entering my details redundantlyStorypoints - S","",,
,,,"Acceptance Criteria","User can log in"
,,,,"User can log out"
,,,"Tasks","Login using account username and password"
,,,,"Logout from the webshop"
"XL - Add to basket","As a UserI want to add a product to my basketIn order to compile my orderStorypoints - **XL**","",,
,,,"Acceptance Criteria","See all order lines"
,,,,"Only see orderlines for YOUR OWN ORDER"
,,,"Tasks","Shows all products in the basket"
,,,,"Save orderlines somewhere so multiple users do not interfere with eachother"
"S - Basket not available, when visitor","As ownerI want the customer to be logged in to have access to the basketso I can avoid anonymous purchasesStorypoints - **S**","",,
,,,"Acceptance Criteria","Given a visitor wants to add products to basket, when not logged in, then they will be prompted to log in."
,,,"Tasks","Redirect to log in when pushing the basket button "
,,,,"Redirect to log in when trying to add a product to basket"
"S - Navigationsbar","As a useri want to be able to navigate the siteso i can see everything i want‌Storypoints - **S**","",,
,,,"Acceptance Criteria","Must be placed in layout (as the top bar of the webpage)"
,,,,"Drop down menu for "Blomster" button"
,,,,"When logged in as a customer/undertaker the login button changes to customer/undertaker manager dropdown (contains "profile", "my orders", "logout")"
,,,,"Blomster binderiets logo in the far left of the navigation bar"
,,,,"Search bar is placed to the far right but before the basket- and user buttons"
,,,,"When visiting as a guest, a login button is placed in the right corner"
,,,,"Implement ALL buttons"
,,,,"When logged in as a admin the login button changes to admin manager dropdown (contains admin pages)"
,,,"Tasks","Implement navigation bar design as in the paper mockup"
"S - Footer design, static pages","As a userI want to be able to navigate easily to information pages, like contact info and FAQIn order to clarify what I can expect from the shopStorypoints - **S**","",,
,,,"Acceptance Criteria","There is a footer"
,,,,"All links and buttons work"
,,,,"Footer doesnt cover content on pages"
,,,"Tasks","Also write the static pages with lorum ipsum"
,,,,"Insert all links to static pages"
,,,,"implement the design from our design process"
"L - Product page","As a customerI want to see all products availableSo I can chose a productStorypoints - **L**","",,
,,,"Acceptance Criteria","Link navigates to product page"
,,,,"All products are shown in a grid like view"
,,,,"Pageination to f.x. 24 products pr page"
,,,"Tasks","Navigate to product page (navbar link)"
,,,,"See all products avaliable (web page)"
,,,,"Mock data"
