Card;Card.Id;Card.Name;Card.Desc;Card.IdList;Card.ListName;Card.IdBoard
TrelloConverter.Models.Card;"";"US 12 Se Alle Produkter (Kunde)";"*Som* kunde, *Ønsker jeg* at se alle tilgængelige produkter, *Med det formål* at vælge et produkt.";"";"Sprint 1";""
TrelloConverter.Models.Card;"";"US 38 Oversigt over Produkter (Kunde)";"Som kunde vil jeg kunne se en oversigt over blomsterarrangementer, så jeg kan vælge det, der passer til lejligheden.";"";"Sprint 1";""
TrelloConverter.Models.Card;"";"US 13 Tilføj til Kurv (Kunde)";"_Som_ kunde, _Ønsker jeg_ at tilføje et produkt til min kurv, _Med det formål_ at samle min bestilling.";"";"Sprint 1";""
TrelloConverter.Models.Card;"";"US 20 Ændre Produkter i Kurv (Bruger)";"*Som* bruger, *Ønsker jeg* at ændre mængden af produkter i min kurv, *Med det formål* at justere min bestilling før køb.";"";"Sprint 1";""
TrelloConverter.Models.Card;"";"US 15 Opret Ordre (Kunde)";"*Som* kunde, *Ønsker jeg* at skabe en ordre fra min kurv, *Med det formål* at købe de valgte produkter.";"";"Sprint 1";""
TrelloConverter.Models.Card;"";"US 14 Kurv til Ordre";"_Som_ ejer, _Ønsker jeg_ at kunden skal give relevant kontaktinformation for at kunne købe en ordre fra kurven, _Med det formål_ at undgå anonyme køb.";"";"Sprint 1";""
TrelloConverter.Models.Card;"";"US 44 Registrerer sig (Kunde)";"Som kunde, ønsker jeg selv at kunne registrer mig til webshoppen, så jeg hurtigst muligt kan udnytte fordele ved at være registreret bruger";"";"Sprint 1";""
TrelloConverter.Models.Card;"";"US 42 Log ind (Kunde)";"Som kunde vil jeg kunne logge ind, så jeg kan se mine ordrer og betalinger.";"";"Sprint 1";""
TrelloConverter.Models.Card;"";"US 43 Log ud (Kunde)";"Som kunde vil jeg kunne logge ud, så jeg kan sikre, at mine oplysninger ikke er tilgængelige for andre.";"";"Sprint 1";""
TrelloConverter.Models.Card;"";"US 39 Profiloplysninger (Kunde)";"Som kunde vil jeg kunne se en oversigt over mine personlige oplysninger, så jeg kan se, hvad I har registreret om mig.";"";"Sprint 2";""
TrelloConverter.Models.Card;"";"US 40 Ændre profiloplysninger (Kunde)";"Som kunde vil jeg kunne ændre mine personlige oplysninger, så jeg kan sikre, at de er korrekte.";"";"Sprint 2";""
TrelloConverter.Models.Card;"";"US 33 Log Ind på Ordreportal (Medarbejder)";"*Som* medarbejder, *Ønsker jeg* at kunne logge ind på ordreportalen, *Med det formål* at kunne ekspedere ordrer.";"";"Sprint 2";""
TrelloConverter.Models.Card;"";"US 4 Produktadministration (Bestyrer)";"*Som* bestyrer, *Ønsker jeg* at kunne oprette og opdatere produkter i webshoppen, *Med det formål* at sikre, at produktudvalget altid er aktuelt og korrekt prissat.";"";"Sprint 2";""
TrelloConverter.Models.Card;"";"US 16 Ordreoversigt (Medarbejder)";"*Som* medarbejder, *Ønsker jeg* at kunne se alle ordrer, *Med det formål* at få et overblik over arbejdsbyrden.";"";"Sprint 2";""
TrelloConverter.Models.Card;"";"US 3 Ordrehåndtering (Medarbejder)";"*Som* medarbejder, *Ønsker jeg* at kunne se og administrere indkommende ordrer, *Med det formål* at effektivisere processen for ordreklargøring og levering.";"";"Sprint 2";""
TrelloConverter.Models.Card;"";"US 35 Opdatere Ordrestatus (Medarbejder)";"*Som* medarbejder, *Ønsker jeg* at kunne opdatere ordrestatus, *Med det formål* at tydeliggøre for alle brugere, hvor langt ordren er i processen.";"";"Sprint 2";""
TrelloConverter.Models.Card;"";"US 34 Se Ordredetaljer (Medarbejder)";"*Som* medarbejder, *Ønsker jeg* at kunne se ordredetaljer om blomsterarrangementet, *Med det formål* at kunne ekspedere ordrer korrekt og effektivt.";"";"Sprint 2";""
TrelloConverter.Models.Card;"";"US 19 Ordreklargøring (Medarbejder)";"*Som* medarbejder, *Ønsker jeg* at markere en ordre som klar til afhentning og fuldført, *Med det formål* at administrere ordreflowet effektivt.";"";"Sprint 2";""
